"","B cells|B cells","B cells|Endothelial cells","B cells|Epithelial cells","B cells|Fibroblasts","B cells|Mast cell-like","B cells|Myeloid","B cells|Neuron-like cells","B cells|T cells","Endothelial cells|B cells","Endothelial cells|Endothelial cells","Endothelial cells|Epithelial cells","Endothelial cells|Fibroblasts","Endothelial cells|Mast cell-like","Endothelial cells|Myeloid","Endothelial cells|Neuron-like cells","Endothelial cells|T cells","Epithelial cells|B cells","Epithelial cells|Endothelial cells","Epithelial cells|Epithelial cells","Epithelial cells|Fibroblasts","Epithelial cells|Mast cell-like","Epithelial cells|Myeloid","Epithelial cells|Neuron-like cells","Epithelial cells|T cells","Fibroblasts|B cells","Fibroblasts|Endothelial cells","Fibroblasts|Epithelial cells","Fibroblasts|Fibroblasts","Fibroblasts|Mast cell-like","Fibroblasts|Myeloid","Fibroblasts|Neuron-like cells","Fibroblasts|T cells","Mast cell-like|B cells","Mast cell-like|Endothelial cells","Mast cell-like|Epithelial cells","Mast cell-like|Fibroblasts","Mast cell-like|Mast cell-like","Mast cell-like|Myeloid","Mast cell-like|Neuron-like cells","Mast cell-like|T cells","Myeloid|B cells","Myeloid|Endothelial cells","Myeloid|Epithelial cells","Myeloid|Fibroblasts","Myeloid|Mast cell-like","Myeloid|Myeloid","Myeloid|Neuron-like cells","Myeloid|T cells","Neuron-like cells|B cells","Neuron-like cells|Endothelial cells","Neuron-like cells|Epithelial cells","Neuron-like cells|Fibroblasts","Neuron-like cells|Mast cell-like","Neuron-like cells|Myeloid","Neuron-like cells|Neuron-like cells","Neuron-like cells|T cells","T cells|B cells","T cells|Endothelial cells","T cells|Epithelial cells","T cells|Fibroblasts","T cells|Mast cell-like","T cells|Myeloid","T cells|Neuron-like cells","T cells|T cells"
"KLRG2_WNT5B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1726732307693,-0.994636815232907,0.0105692417101872,-0.968291140272662,-11.0834793273318,-1.46617634827064,-4.09761079662642,-0.765534746362977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6073303137496,-11.6706562491184,-7.49185309632967,-10.6257088430645,0,-9.81378119121704,0,-9.43045255166553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVR_CD96",0,0,0,0,0,0,0,0,-0.969447669116681,-1.66572351268499,0.0924742755936874,-0.268488835925902,-12.0188956211216,-0.357111304421066,-12.2015113445001,-0.454604583658747,-0.91802269783339,-1.2178051518408,-0.361739273118795,-0.483082886701943,-12.2015113445001,-0.53017940117353,-11.9693865213423,-0.572959208739251,-1.41922529624228,-1.13025638595134,-0.574694165267329,-1.3724770370508,-11.5410966153495,-1.05794734920928,-11.5980525001616,-0.631995255830048,0,0,0,0,0,0,0,0,-1.67646085520665,-2.22948184612277,0.00861313030470789,-0.892515573333594,-11.9068905956085,-0.534707729941461,-11.868822554775,-0.614647100693884,-1.27301849440642,-12.2905948880826,-2.05383815162755,-1.63656369720837,-12.3663222142458,-1.78752829246224,-12.3799198176465,-0.640461504753094,8.96578428466209,0,-2,0.184424571137427,0,-0.245112497836532,0,-0.42584777495739
"PVR_CD226",0,0,0,0,0,0,0,0,0.701261532484527,-1.69267631802141,-0.377069649079823,-1.34132234568067,-0.112231557916282,-0.355448702989044,0,-0.651044917724272,1.15100778809968,-0.221172383174192,-0.216708782832865,-0.69389687227432,0.0310268956206246,-0.234034534111242,0,-0.801970910915818,0.371510123737923,0.349584437790228,-0.857980995127572,-1.21324403912226,-0.307109380175817,-0.687117044715645,0,-0.877960306525023,0,0,0,0,0,0,0,0,0.69163056201764,-1.03980100805798,-0.433299705671572,-2.37144823073116,-0.00697517091633792,-0.435501601838559,0,-0.843535558116536,0.553676811794209,-1.50638377501641,-2.63941028474353,-12.3470676571659,-1.0829485712016,-1.73949442047694,0,-0.955877446767692,8.95128471496697,0,6.22881869049588,-9.1548181090521,9.78135971352466,-1.05889368905357,0,0.154793606966678
"PVR_TIGIT",0,0,0,0,0,0,0,0,0,-11.3275526440812,-2.13848195379143,-1.88105892727649,0,-11.2819300269554,0,-0.105426354412973,0,-10.0084286220706,-1.48819061161872,-2.0422282353893,0,-10.929258408637,0,-0.0283380753880984,0,-8.67948009950545,-2.09060254878091,-0.79836613883035,0,-9.98013957763916,0,-0.300917601594824,0,0,0,0,0,0,0,0,0,-9.58871463558226,-2.36457243229586,-2.6724253419715,0,-10.1674181458317,0,-0.0988666751429659,0,0,-12.2258099406235,-12.2348174311173,0,-12.3077700318907,0,-0.779361615403495,0,0,-6.64385618977472,0,0,0,0,-0.141276686851992
"PVR_NECTIN3",0,0,0,0,0,0,0,0,0,0.20479836132171,0.193513491284026,-0.237232912647349,0,0.503825737995751,0.0632730255781745,0.302562770020431,0,-0.0846812259234382,-0.136128728223378,-0.563207948080635,0,0.0780025120012731,0.0420600385372696,0.553416786424376,0,-0.490138954519562,-0.0700584724740807,-0.723562889563718,0,2.15527822547791,-0.0282815501647838,0.409644240508625,0,0,0,0,0,0,0,0,0,-0.238667961049278,-0.177561584844074,-0.819045532858821,0,-1.03747470541866,0.155910191407552,0.396465393242422,0,-0.7918918046698,-0.745664686160798,-0.940870788124769,0,-1.78043362274232,0.083721825897503,-0.861731931960371,0,1.76970238057821,0.379889555584735,-0.399440644227825,0,0,1.11902410314227,0.300394933337721
"CADM1_NECTIN3",0,1.79505303518988,1.15828466847867,1.03892787991722,0,13.8371351252961,1.17092444383829,1.50127875278398,0,-0.76452923377324,-0.558693250010374,-0.772785195206709,0,7.876516946565,-0.0487637189862177,0.0507745672331259,0,-0.609260700282361,-0.679328061083063,-0.672711277482092,0,-0.193928957212754,-0.47869790345633,-0.633921251415421,0,0.0366584705788482,-0.0485536651085401,-0.249471955392732,0,-0.803370674728634,0.247018647348079,0.631872649521376,0,0.624944186212667,-0.0144350902635688,0.109571094611363,0,0,1.12722740741996,0.586716537461099,0,0.271302021817394,-0.0565835283663676,-0.778285696204069,0,7.07681559705083,-0.0202270828939276,0.727151304339251,0,-12.1357092861044,-12.4434616122274,-12.8494051009478,0,-9.66177809777199,-13.4369717450491,-11.5117526537674,0,0.751585383438982,0.869415890189856,-0.204069911399195,0,3.00599874062144,0.150889877508232,0.648256250677076
"NECTIN1_NECTIN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0679298538539113,0.102718835096963,-0.406798213372926,0,2.25481389902883,0.178005379546196,0.808545755836226,0,-0.550028710611769,-0.360881729231939,-0.980031583767404,0,-0.415037499278844,-0.117328013107877,0.498637700896784,0,0,0,0,0,0,0,0,0,0.532013620772197,0.0586416679085673,-0.778394431718721,0,7.07681559705083,-0.0044159662298644,0.945779609002114,0,0,0,0,0,0,0,0,0,1.39142494205689,0.119739244274096,-0.671893330183513,0,0,0.935701506505627,0.399802985583684
"TIGIT_NECTIN3",0,0,0,0,0,0,0,0,0,-10.3331553503106,-10.6969675262343,-11.8649599151426,0,0,-11.9218409370745,-10.0498485494506,0,-3.00486575517182,-1.59191526136292,-2.7584027648285,0,-7.32192809488736,-1.75243239551198,-0.769880216638942,0,-0.869939459435627,-1.8398055713293,-2.50879082023575,0,0,-0.439878353828246,-3.76818432477693,0,0,0,0,0,0,0,0,0,-10.4304525516655,-11.5933911227917,-12.4486325677306,0,-6.49185309632967,-12.996120363033,-10.1799090900149,0,0,0,0,0,0,0,0,0,-0.228676795702398,-0.100709220249642,-0.465541335954679,0,-0.631218091682028,0.061593730100941,0.134072618349662
"NECTIN2_NECTIN3",0,0,0,0,0,0,0,0,0,0.246685902800915,0.351246407189706,0.00639777119815066,0,0.858413522500288,0.200133851097824,0.909305148541819,0,-0.242325509001685,-0.0823459122533992,-0.581286842577758,0,0.326429487122303,0.116961090053594,0.137246839283305,0,-0.256987311527711,-0.0976632592181439,-0.497688679456792,0,1.38740193236464,0.221575146117941,-0.142019004872428,0,-11.3880172853451,-12.0430272835945,-12.4665863377192,0,0,-13.1984450414524,-10.7481928495895,0,0.182612519351093,0.0918608581942226,-0.32419826851219,0,0.500350273006215,0.141022432317575,0.529804973465648,0,-0.503324031696799,-0.665069239914999,-0.706008781615761,0,-0.0384741478146355,-0.144588696113428,-0.242200902416628,0,0.678071905112638,-0.0468538134306089,-0.609817689407432,0,7.17990909001493,0.856206911523413,0.938599455335857
"CADM1_CADM1",1.77538485082726,1.67048541064083,-0.0141143484924648,1.22178611956628,14.3006385539937,1.57285166325624,-12.9012440324674,1.5949090430657,1.67048541064083,-1.06695024392463,-0.795304174382285,-0.21562774328638,-11.7895336449704,-0.157791245806457,-12.1421070573025,0.319212006778779,-0.0141143484924648,-0.795304174382285,-0.661296805769642,-0.591569887832103,0.218953337369677,-0.791551186767251,-15.7542089921015,-0.509044085697488,1.22178611956628,-0.21562774328638,-0.591569887832103,0.382632957707955,0.896906507035897,0.356485316923731,-12.0498485494506,1.02013341949704,14.3006385539937,-11.7895336449704,0.218953337369677,0.896906507035897,0.640269872400253,10.393390457444,-11.0701209444768,1.98247508590494,1.57285166325624,-0.157791245806457,-0.791551186767251,0.356485316923731,10.393390457444,1.66051353372833,-10.6257088430645,1.83850362062827,-12.9012440324674,-12.1421070573025,-15.7542089921015,-12.0498485494506,-11.0701209444768,-10.6257088430645,-11.7772553151919,-11.6257088430645,1.5949090430657,0.319212006778779,-0.509044085697488,1.02013341949704,1.98247508590494,1.83850362062827,-11.6257088430645,0.802847904831033
