"","B cells|B cells","B cells|Endothelial cells","B cells|Epithelial cells","B cells|Fibroblasts","B cells|Mast cell-like","B cells|Myeloid","B cells|Neuron-like cells","B cells|T cells","Endothelial cells|B cells","Endothelial cells|Endothelial cells","Endothelial cells|Epithelial cells","Endothelial cells|Fibroblasts","Endothelial cells|Mast cell-like","Endothelial cells|Myeloid","Endothelial cells|Neuron-like cells","Endothelial cells|T cells","Epithelial cells|B cells","Epithelial cells|Endothelial cells","Epithelial cells|Epithelial cells","Epithelial cells|Fibroblasts","Epithelial cells|Mast cell-like","Epithelial cells|Myeloid","Epithelial cells|Neuron-like cells","Epithelial cells|T cells","Fibroblasts|B cells","Fibroblasts|Endothelial cells","Fibroblasts|Epithelial cells","Fibroblasts|Fibroblasts","Fibroblasts|Mast cell-like","Fibroblasts|Myeloid","Fibroblasts|Neuron-like cells","Fibroblasts|T cells","Mast cell-like|B cells","Mast cell-like|Endothelial cells","Mast cell-like|Epithelial cells","Mast cell-like|Fibroblasts","Mast cell-like|Mast cell-like","Mast cell-like|Myeloid","Mast cell-like|Neuron-like cells","Mast cell-like|T cells","Myeloid|B cells","Myeloid|Endothelial cells","Myeloid|Epithelial cells","Myeloid|Fibroblasts","Myeloid|Mast cell-like","Myeloid|Myeloid","Myeloid|Neuron-like cells","Myeloid|T cells","Neuron-like cells|B cells","Neuron-like cells|Endothelial cells","Neuron-like cells|Epithelial cells","Neuron-like cells|Fibroblasts","Neuron-like cells|Mast cell-like","Neuron-like cells|Myeloid","Neuron-like cells|Neuron-like cells","Neuron-like cells|T cells","T cells|B cells","T cells|Endothelial cells","T cells|Epithelial cells","T cells|Fibroblasts","T cells|Mast cell-like","T cells|Myeloid","T cells|Neuron-like cells","T cells|T cells"
"KLRG2_WNT5B",0.502922621667626,0.428536792061782,0.428536792061782,0.428536792061782,0.108319380730004,0.428536792061782,0.108319380730004,0.428536792061782,0.879147648395713,0.799946492427152,0.799946492427152,0.722752244691669,0.108319380730004,0.428536792061782,0.428536792061782,0.722752244691669,0.022424918077092,0.0137977287216041,1,0.0628064367194802,0.0140856252721065,0.00127022735718388,0.0419892576461778,0.0765078522560788,0.97453238453687,0.409854884113464,0.873179066842125,0.631965288508578,0.369221227566784,0.388711016762426,0.159694244171318,0.678129841342529,0.502922621667626,0.502922621667626,0.502922621667626,0.502922621667626,0.502922621667626,0.428536792061782,0.428536792061782,0.428536792061782,0.803658668465658,0.0791159133174613,0.384217228500489,0.120221815313164,0.0550715150141608,0.071418780121891,0.138312072977847,0.191815115154474,0.612089880089257,0.612089880089257,0.612089880089257,0.612089880089257,1,0.612089880089257,1,0.612089880089257,0.732332470754753,0.621281208791057,0.675925243037686,0.470262706374128,0.0848467241041893,0.518249411658953,0.96430704452167,0.568650027537515
"PVR_CD96",0.165083451108446,0.612089880089257,0.226957173640238,0.16522391977882,0.612089880089257,0.119206815909279,0.310742434357538,0.119206815909279,0.0905146761821046,0.197426502230217,0.845985612995438,0.305888764774765,0.00123502944240422,0.598033179099693,0.0457828688398254,0.0016395842482799,0.0326245953929481,0.0535566683238643,0.598033179099693,0.0720629862849927,0.000370397766574045,0.292263549311687,0.0372237163563207,0.00209227165748905,0.0555331950846314,0.111892218152541,0.42098069270754,0.0378865209333923,0.00077232281356349,0.0352030158083552,0.0564884556547361,0.00209227165748905,0.96430704452167,0.502922621667626,0.893206273819137,0.96430704452167,0.428536792061782,0.96430704452167,0.96430704452167,0.96430704452167,0.0325978927857517,0.0535182585437176,0.598033179099693,0.00767992072339898,0.000287560580126482,0.165823661764583,0.0372237163563207,0.00209227165748905,0.123214773146811,0.0493063792753514,0.0224303217541316,0.0555331950846314,0.00287655466989302,0.230049492557715,0.0321649815041283,0.0171834952214148,0.88333993129764,0.654852178781001,0.659839914640541,0.754796120510245,0.017705547127786,0.473661190686663,0.276649534801901,0.799753020107335
"PVR_CD226",0.16522391977882,0.428536792061782,0.226957173640238,0.226957173640238,0.226957173640238,0.165083451108446,0.310742434357538,0.119206815909279,0.189697899232867,0.469111391838436,0.822569338834107,0.0396363069461595,0.932604057848511,0.616626953105708,0.791989757460873,0.0357870792653401,0.20923710863861,0.510036764160684,0.653855245626727,0.00233080272837022,0.843595624007716,0.577972541915428,1,0.0628064367194802,0.252528724957032,0.547444671234031,0.674154598384396,0.0130983711794766,0.932614710698682,0.220964673394676,0.947432025468618,0.0463574457174499,1,0.799946492427152,0.96430704452167,0.96430704452167,1,0.96430704452167,1,0.96430704452167,0.30186770418557,0.390109132251899,0.466202975815771,0.0103219601989818,0.932614710698682,0.18173145168824,1,0.0637703363319437,0.910741563688618,0.0549772358810477,0.0170968632418265,0.00250899236635162,0.320422105331187,0.150591606402431,0.947432025468618,0.015771403760079,0.121090429374192,0.918137286310965,0.438195576788638,0.0873478496897864,0.698346693230812,0.524019903235912,0.675925243037686,1
"PVR_TIGIT",0.226957173640238,0.612089880089257,0.428536792061782,0.16522391977882,1,0.428536792061782,1,0.119206815909279,0.597286482736603,0.166183876699042,0.0438449604593106,0.45144475176092,0.414326973448099,0.0833079154081012,0.108319380730004,0.782022835578325,0.925720369766865,0.146918500287689,0.0332440663608396,0.401046478553467,0.437899312921284,0.0309929493526047,0.108319380730004,0.580011583686889,0.554882008091077,0.099291522657048,0.050136990252442,0.283985146414734,0.462538960140444,0.0116617228968958,0.108319380730004,0.657986909595301,0.428536792061782,0.612089880089257,0.428536792061782,0.108319380730004,0.612089880089257,0.502922621667626,1,0.893206273819137,0.732467157578707,0.099291522657048,0.0184614975988594,0.0772333188381618,0.414326973448099,0.00389744483337499,0.108319380730004,0.892562188214362,0.757822790750145,0.141117755855408,0.00348288726381748,0.0174671206079891,0.327301698653168,0.00142188655915249,0.108319380730004,0.0858327108870126,0.666668851646124,0.462538960140444,0.388711016762426,0.502508814333082,0.428536792061782,0.265712538211474,0.108319380730004,0.799721962721572
"PVR_NECTIN3",0.612089880089257,0.119206815909279,0.119206815909279,0.119206815909279,1,0.428536792061782,0.119100444772444,0.119206815909279,0.678129841342529,0.685010641532381,0.892562188214362,0.0307624742407351,0.428536792061782,0.385005354413959,0.561216063263171,0.498001193653368,0.678068073281086,0.955870160883692,0.725252525252525,0.00615160762672986,0.502922621667626,0.818701003954989,0.685010641532381,0.114772924785503,0.873179066842125,0.97792663519395,0.471907962461246,0.00194267006687901,0.502922621667626,0.752709333389997,0.685010641532381,0.390829954686963,0.612089880089257,1,0.96430704452167,0.96430704452167,0.612089880089257,0.502922621667626,0.96430704452167,0.893206273819137,0.82316940981333,0.850014076101033,0.599097074163634,0.000975192279540106,0.502922621667626,0.931523744805742,0.846427447623548,0.45503547491248,1,0.0460573872742086,0.0674553423379951,0.00781818022572514,0.428536792061782,0.394810396356557,0.867968934282864,0.0964347692285641,0.518249411658953,0.352313391570068,0.631833120771532,0.843595624007716,0.502922621667626,0.597877394907459,0.271670981903114,0.382259293750094
"CADM1_NECTIN3",0.176501899071531,0.00767992072339898,0.0061594401320795,0.0160332421201986,0.502922621667626,0.111241784157795,0.00629708455795412,0.00414625632016936,0.86398739741116,0.487854679388294,0.523325918669592,0.0591304923016917,0.428536792061782,0.765532513812173,0.637117375154026,0.977862342110804,0.82316940981333,0.313800209452383,0.313800209452383,0.287929461842505,0.502922621667626,0.709629174218646,0.263455063455063,0.313800209452383,0.502595676715242,0.645586297760211,0.978448926275013,0.369771291510422,0.502922621667626,0.688325831472485,0.645586297760211,0.24039953605171,0.678129841342529,0.626311708942163,0.586235737016633,0.586297015493652,0.502922621667626,0.82316940981333,0.406179168291175,0.54751021320753,0.288206718464036,0.542164781943253,0.911754371280971,0.141861654169458,0.502922621667626,0.362945454584623,0.955809461324162,0.267749784326121,0.518249411658953,0.00497216693810219,0.00497216693810219,7.27486665572041e-05,0.428536792061782,0.0864864964857445,0.0190006074473623,0.00841151486953089,0.587326833879403,0.161845883585014,0.0548945418510636,0.369771291510422,0.502922621667626,0.251839583012539,0.161845883585014,0.0307624742407351
"NECTIN1_NECTIN3",0.518249411658953,0.70627664431993,0.86398739741116,0.97266972352587,0.108319380730004,0.68306293382718,0.810469134784799,0.757822790750145,0.226957173640238,0.263239499032355,0.618959440289216,0.901071841992185,0.612089880089257,0.0849071206612244,0.21384034980049,0.53424616508463,0.632034553865548,0.766248887988018,0.506663840197589,0.0112248460074547,0.502922621667626,0.374582992804442,0.45503547491248,0.0160775679692245,0.773867999803796,0.422189534411416,0.506534019981993,0.00212871845441844,0.502922621667626,0.750004171792212,0.97792663519395,0.212893576539143,0.428536792061782,0.0848467241041893,0.0848467241041893,0.0848467241041893,1,0.104832330582654,0.0848467241041893,0.128385831962489,0.288206718464036,0.471907962461246,0.657938006147273,0.0765977990338466,0.502922621667626,0.354040872956333,0.47184029754565,0.0463240860643858,0.310742434357538,0.0849071206612244,0.0849071206612244,0.0849071206612244,1,0.119206815909279,0.0849071206612244,0.0849071206612244,0.450988832923228,0.556168612286687,0.715564897027404,0.22808811225734,0.502922621667626,0.544059404092962,0.556044841162485,0.299681211761416
"TIGIT_NECTIN3",0.799946492427152,0.876518342284423,0.925706100504413,0.554882008091077,0.108319380730004,0.799946492427152,0.975208240089226,0.827789055283717,0.104832330582654,0.146918500287689,0.187290013526611,0.0648785829901419,0.502922621667626,0.849298474063779,0.235316539023122,0.262354832982593,0.568650027537515,0.0833293255424895,0.105633797112789,0.00133717744902223,0.108319380730004,0.156236415191128,0.065002614990136,0.754834268250161,0.773997829011561,0.622528887366174,0.369362688715573,0.0345269830219283,0.108319380730004,0.288206718464036,0.622528887366174,0.582193532197222,0.722752244691669,0.513729047543498,0.462538960140444,0.414326973448099,0.108319380730004,0.799946492427152,0.462538960140444,0.462538960140444,0.568538630821245,0.0193117066077324,0.00471951028474453,0.000596432394155038,0.502922621667626,0.0991449711157411,0.0265597162275173,0.0417872320524001,1,0.108319380730004,0.108319380730004,0.108319380730004,1,0.108319380730004,0.108319380730004,0.108319380730004,0.873179066842125,0.807860094816616,0.935425604990822,0.0109002467720556,0.502922621667626,0.8410908112991,0.533238741934394,0.406509554128815
"NECTIN2_NECTIN3",0.428536792061782,0.470262706374128,0.675925243037686,0.732332470754753,1,0.226957173640238,0.470262706374128,0.621281208791057,0.462790340129512,0.607105615801268,0.313800209452383,0.782022835578325,0.502922621667626,0.178236888610268,0.198432485389007,0.135091682286984,0.773867999803796,0.161845883585014,0.24039953605171,0.000738713782192043,0.502922621667626,0.49174529053804,1,0.935425604990822,0.632034553865548,0.313800209452383,0.498001193653368,0.00767992072339898,0.502922621667626,0.54751021320753,0.6380959587343,0.933847428801186,0.732332470754753,0.0947133963006895,0.136554149505883,0.0309929493526047,0.502922621667626,0.369536301817734,0.136554149505883,0.191399244765128,0.725462474576785,0.889953477676689,0.3998445998446,0.0190128711867842,0.428536792061782,0.406179168291175,0.346845671216703,0.0721064619222077,0.791989757460873,0.234148296233416,0.0813146522093523,0.00727832721286055,0.502922621667626,0.728227508261604,0.391047044362179,0.36113931007027,0.198557387179358,0.174980681535842,0.889920064158006,0.280337369673159,0.502922621667626,0.0688300312355016,0.256407196451814,0.360845776413203
"CADM1_CADM1",0.00414625632016936,0.0549708351002906,0.506663840197589,0.0160332421201986,0.111241784157795,0.134614505151775,0.394810396356557,0.00414625632016936,0.0549708351002906,0.201725814059386,0.523325918669592,0.845985612995438,0.811497744108442,0.758852324400289,0.00128336940231507,0.760184128236302,0.506663840197589,0.523325918669592,0.287929461842505,0.145481571568528,0.796573880687864,0.506078848810966,0.0138416361327112,0.313800209452383,0.0160332421201986,0.845985612995438,0.145481571568528,0.607105615801268,0.510036764160684,0.47123015684626,0.0190006074473623,0.0357870792653401,0.111241784157795,0.811497744108442,0.796573880687864,0.510036764160684,0.586297015493652,0.277627516277856,0.388711016762426,0.406179168291175,0.134614505151775,0.758852324400289,0.506078848810966,0.47123015684626,0.277627516277856,0.506013722499284,0.00471951028474453,0.134614505151775,0.394810396356557,0.00128336940231507,0.0138416361327112,0.0190006074473623,0.388711016762426,0.00471951028474453,0.00106735249189796,0.0345269830219283,0.00414625632016936,0.760184128236302,0.313800209452383,0.0357870792653401,0.406179168291175,0.134614505151775,0.0345269830219283,0.0463574457174499
