"","B cells|B cells","B cells|Endothelial cells","B cells|Epithelial cells","B cells|Fibroblasts","B cells|Mast cell-like","B cells|Myeloid","B cells|Neuron-like cells","B cells|T cells","Endothelial cells|B cells","Endothelial cells|Endothelial cells","Endothelial cells|Epithelial cells","Endothelial cells|Fibroblasts","Endothelial cells|Mast cell-like","Endothelial cells|Myeloid","Endothelial cells|Neuron-like cells","Endothelial cells|T cells","Epithelial cells|B cells","Epithelial cells|Endothelial cells","Epithelial cells|Epithelial cells","Epithelial cells|Fibroblasts","Epithelial cells|Mast cell-like","Epithelial cells|Myeloid","Epithelial cells|Neuron-like cells","Epithelial cells|T cells","Fibroblasts|B cells","Fibroblasts|Endothelial cells","Fibroblasts|Epithelial cells","Fibroblasts|Fibroblasts","Fibroblasts|Mast cell-like","Fibroblasts|Myeloid","Fibroblasts|Neuron-like cells","Fibroblasts|T cells","Mast cell-like|B cells","Mast cell-like|Endothelial cells","Mast cell-like|Epithelial cells","Mast cell-like|Fibroblasts","Mast cell-like|Mast cell-like","Mast cell-like|Myeloid","Mast cell-like|Neuron-like cells","Mast cell-like|T cells","Myeloid|B cells","Myeloid|Endothelial cells","Myeloid|Epithelial cells","Myeloid|Fibroblasts","Myeloid|Mast cell-like","Myeloid|Myeloid","Myeloid|Neuron-like cells","Myeloid|T cells","Neuron-like cells|B cells","Neuron-like cells|Endothelial cells","Neuron-like cells|Epithelial cells","Neuron-like cells|Fibroblasts","Neuron-like cells|Mast cell-like","Neuron-like cells|Myeloid","Neuron-like cells|Neuron-like cells","Neuron-like cells|T cells","T cells|B cells","T cells|Endothelial cells","T cells|Epithelial cells","T cells|Fibroblasts","T cells|Mast cell-like","T cells|Myeloid","T cells|Neuron-like cells","T cells|T cells"
"KLRG2_WNT5B",0.886793554368078,0.84249199195511,0.84249199195511,0.84249199195511,0.509162286821262,0.84249199195511,0.509162286821262,0.84249199195511,1,1,1,0.970478214010547,0.509162286821262,0.84249199195511,0.84249199195511,0.970478214010547,0.277635830841012,0.254275291317341,1,0.473228615572014,0.254275291317341,0.143677680522551,0.384277146485675,0.509162286821262,1,0.84249199195511,1,0.924097852021952,0.84249199195511,0.84249199195511,0.615395649470833,0.949341207742457,0.886793554368078,0.886793554368078,0.886793554368078,0.886793554368078,0.886793554368078,0.84249199195511,0.84249199195511,0.84249199195511,1,0.509162286821262,0.84249199195511,0.528919478886588,0.441515529364064,0.506646279809613,0.566441042692036,0.666381514239372,0.911721328081794,0.911721328081794,0.911721328081794,0.911721328081794,1,0.911721328081794,1,0.911721328081794,0.971846707057438,0.914410270348973,0.949341207742457,0.879795158168921,0.509162286821262,0.897177508323448,1,0.911721328081794
"PVR_CD96",0.615395649470833,0.911721328081794,0.701442676332385,0.615395649470833,0.911721328081794,0.525937212779096,0.785502975839338,0.525937212779096,0.509162286821262,0.675406454998111,1,0.785502975839338,0.143677680522551,0.911721328081794,0.401525090035855,0.149673919272588,0.335198916441267,0.441515529364064,0.911721328081794,0.506979518191072,0.0933556194820701,0.785502975839338,0.358751792433586,0.149673919272588,0.443151976071004,0.51859923837969,0.84249199195511,0.361170947515221,0.119486636941393,0.356024017251437,0.444405921351822,0.149673919272588,1,0.886793554368078,1,1,0.84249199195511,1,1,1,0.335198916441267,0.441515529364064,0.911721328081794,0.21473953090669,0.0933556194820701,0.617499438627643,0.358751792433586,0.149673919272588,0.537038545589826,0.417966831528407,0.277635830841012,0.443151976071004,0.151687615268725,0.705943059569635,0.332459088973854,0.254275291317341,1,0.93791115884463,0.941586553498565,0.991907854364255,0.254275291317341,0.882075715254571,0.776558321765063,1
"PVR_CD226",0.615395649470833,0.84249199195511,0.701442676332385,0.701442676332385,0.701442676332385,0.615395649470833,0.785502975839338,0.525937212779096,0.666381514239372,0.879795158168921,1,0.374446723137997,1,0.914410270348973,1,0.356727435488374,0.700112596438897,0.894960699731734,0.93791115884463,0.149673919272588,1,0.911721328081794,1,0.473228615572014,0.747978013167052,0.911721328081794,0.949341207742457,0.254275291317341,1,0.701442676332385,1,0.404951649011042,1,1,1,1,1,1,1,1,0.785502975839338,0.84249199195511,0.879795158168921,0.252254693113498,1,0.652022777807152,1,0.475420895844005,1,0.441515529364064,0.254275291317341,0.149673919272588,0.798234579832586,0.596009094822104,1,0.254275291317341,0.530637402250075,1,0.853306403343011,0.509162286821262,0.969400794229142,0.902174237465046,0.949341207742457,1
"PVR_TIGIT",0.701442676332385,0.911721328081794,0.84249199195511,0.615395649470833,1,0.84249199195511,1,0.525937212779096,0.911721328081794,0.617499438627643,0.393941761362272,0.868790465749427,0.84249199195511,0.509162286821262,0.509162286821262,1,1,0.588302529494233,0.33886682399941,0.84249199195511,0.853306403343011,0.325126372586584,0.509162286821262,0.911721328081794,0.911721328081794,0.509162286821262,0.422954998876082,0.785502975839338,0.879202559484743,0.254275291317341,0.509162286821262,0.939551102030819,0.84249199195511,0.911721328081794,0.84249199195511,0.509162286821262,0.911721328081794,0.886793554368078,1,1,0.971846707057438,0.509162286821262,0.25877171896482,0.509162286821262,0.84249199195511,0.167724522484551,0.509162286821262,1,0.991907854364255,0.574163092721851,0.159236201344367,0.254275291317341,0.806620299998329,0.149673919272588,0.509162286821262,0.509162286821262,0.949341207742457,0.879202559484743,0.84249199195511,0.886793554368078,0.84249199195511,0.755482906866443,0.509162286821262,1
"PVR_NECTIN3",0.911721328081794,0.525937212779096,0.525937212779096,0.525937212779096,1,0.84249199195511,0.525937212779096,0.525937212779096,0.949341207742457,0.957034729344122,1,0.325126372586584,0.84249199195511,0.84249199195511,0.911721328081794,0.886793554368078,0.949341207742457,1,0.970948561097978,0.195431727580556,0.886793554368078,1,0.957034729344122,0.524484108869673,1,1,0.879804507247737,0.149673919272588,0.886793554368078,0.990908489526072,0.957034729344122,0.84249199195511,0.911721328081794,1,1,1,0.911721328081794,0.886793554368078,1,1,1,1,0.911721328081794,0.12862691533639,0.886793554368078,1,1,0.872817674098225,1,0.40336574960149,0.489253780924939,0.217145895883642,0.84249199195511,0.84249199195511,1,0.509162286821262,0.897177508323448,0.835801126624214,0.924097852021952,1,0.886793554368078,0.911721328081794,0.766319713889293,0.84249199195511
"CADM1_NECTIN3",0.639774528147751,0.21473953090669,0.195431727580556,0.254275291317341,0.886793554368078,0.517811392085717,0.195491580306635,0.168002459158516,1,0.886793554368078,0.902174237465046,0.460111695211661,0.84249199195511,0.997819214296022,0.928716867322819,1,1,0.78988031745981,0.78988031745981,0.785502975839338,0.886793554368078,0.970478214010547,0.752757031355029,0.78988031745981,0.886793554368078,0.935545401306019,1,0.84249199195511,0.886793554368078,0.960633657521521,0.935545401306019,0.722124007422641,0.949341207742457,0.918744284872256,0.911721328081794,0.911721328081794,0.886793554368078,1,0.84249199195511,0.911721328081794,0.785502975839338,0.911721328081794,1,0.576121220883391,0.886793554368078,0.84249199195511,1,0.760242069252993,0.897177508323448,0.178540207634671,0.178540207634671,0.0567439599146192,0.84249199195511,0.509162286821262,0.260843494772151,0.228871451101189,0.911721328081794,0.615395649470833,0.441515529364064,0.84249199195511,0.886793554368078,0.747978013167052,0.615395649470833,0.325126372586584
"NECTIN1_NECTIN3",0.897177508323448,0.970478214010547,1,1,0.509162286821262,0.9559612829878,1,0.991907854364255,0.701442676332385,0.752757031355029,0.914410270348973,1,0.911721328081794,0.509162286821262,0.701442676332385,0.911721328081794,0.924097852021952,0.997819214296022,0.890963044337877,0.254275291317341,0.886793554368078,0.84249199195511,0.872817674098225,0.254275291317341,1,0.84249199195511,0.890963044337877,0.149673919272588,0.886793554368078,0.988392025450199,1,0.701442676332385,0.84249199195511,0.509162286821262,0.509162286821262,0.509162286821262,1,0.509162286821262,0.509162286821262,0.539037770732804,0.785502975839338,0.879804507247737,0.939551102030819,0.509162286821262,0.886793554368078,0.835815796457262,0.879795158168921,0.404951649011042,0.785502975839338,0.509162286821262,0.509162286821262,0.509162286821262,1,0.525937212779096,0.509162286821262,0.509162286821262,0.868790465749427,0.911721328081794,0.970478214010547,0.704465386989689,0.886793554368078,0.911721328081794,0.911721328081794,0.785502975839338
"TIGIT_NECTIN3",1,1,1,0.911721328081794,0.509162286821262,1,1,1,0.509162286821262,0.588302529494233,0.662459906134749,0.480240044909235,0.886793554368078,1,0.716164137621987,0.752757031355029,0.911721328081794,0.509162286821262,0.509162286821262,0.147681190830066,0.509162286821262,0.610116978559185,0.480588053955508,0.991907854364255,1,0.915670682132064,0.84249199195511,0.350378211202362,0.509162286821262,0.785502975839338,0.915670682132064,0.911721328081794,0.970478214010547,0.896545506477058,0.879202559484743,0.84249199195511,0.509162286821262,1,0.879202559484743,0.879202559484743,0.911721328081794,0.263268916772299,0.175122363786754,0.106249401664886,0.886793554368078,0.509162286821262,0.30795781218899,0.38317755768843,1,0.509162286821262,0.509162286821262,0.509162286821262,1,0.509162286821262,0.509162286821262,0.509162286821262,1,1,1,0.254275291317341,0.886793554368078,1,0.911721328081794,0.84249199195511
"NECTIN2_NECTIN3",0.84249199195511,0.879795158168921,0.949341207742457,0.971846707057438,1,0.701442676332385,0.879795158168921,0.914410270348973,0.879202559484743,0.911721328081794,0.78988031745981,1,0.886793554368078,0.644752570972796,0.675940041461644,0.557943856100999,1,0.615395649470833,0.722124007422641,0.115721523034603,0.886793554368078,0.886793554368078,1,1,0.924097852021952,0.78988031745981,0.886793554368078,0.21473953090669,0.886793554368078,0.911721328081794,0.928716867322819,1,0.971846707057438,0.509162286821262,0.56157593997147,0.325126372586584,0.886793554368078,0.84249199195511,0.56157593997147,0.666381514239372,0.970948561097978,1,0.84249199195511,0.260843494772151,0.84249199195511,0.84249199195511,0.826072704920599,0.506979518191072,1,0.713478653127622,0.509162286821262,0.21156568609344,0.886793554368078,0.971846707057438,0.84249199195511,0.84249199195511,0.675940041461644,0.636332419358767,1,0.781728274637696,0.886793554368078,0.496213807245841,0.752757031355029,0.84249199195511
"CADM1_CADM1",0.168002459158516,0.441515529364064,0.890963044337877,0.254275291317341,0.517811392085717,0.556717891625147,0.84249199195511,0.168002459158516,0.441515529364064,0.684795945088713,0.902174237465046,1,1,0.99265589221152,0.14429234361164,0.992702123198483,0.890963044337877,0.902174237465046,0.785502975839338,0.583484739102913,1,0.890394365577188,0.254275291317341,0.78988031745981,0.254275291317341,1,0.583484739102913,0.911721328081794,0.894960699731734,0.879795158168921,0.260843494772151,0.356727435488374,0.517811392085717,1,1,0.894960699731734,0.911721328081794,0.777111149889142,0.84249199195511,0.84249199195511,0.556717891625147,0.99265589221152,0.890394365577188,0.879795158168921,0.777111149889142,0.890394365577188,0.175122363786754,0.556717891625147,0.84249199195511,0.14429234361164,0.254275291317341,0.260843494772151,0.84249199195511,0.175122363786754,0.136387977121705,0.350378211202362,0.168002459158516,0.992702123198483,0.78988031745981,0.356727435488374,0.84249199195511,0.556717891625147,0.350378211202362,0.404951649011042
