ionocyte,neuroendocrine_cell,tuft_cell,AT1,AT2,vascular_smooth_muscle,airway_smooth_muscle,fibroblast,myofibroblast,lipofibroblast,pericyte,mesothelial_cell,tuft_1_montoro,tuft_2_montoro
CFTR,CALCA,DCLK1,AGER,SFTPB,CNN1,CNN1,COL1A1,COL1A1,COL1A1,CSPG4,MSLN,Gnb3,Alox5ap
FOXI1,CHGA,ASCL2,PDPN,SFTPC,ACTA2,ACTA2,GFRA,PDGFRA,PDGFRA,TRPC6,UPK3B,Gng13,Dclk1
ASCL3,ASCL1,,CLIC5,SFTPD,TAGLN,TAGLN,,ELN,PLIN2,PDGFRB,WT1,Fxyd6,Atp1a2
,,,,MUC1,RGS5,DES,,ACTA2,APOE,,,Ank,Sh2d6
,,,,ETV5,,LGR6,,,,,,Commd1,Nrgn
,,,,,,,,,,,,Ovol3,Hck
,,,,,,,,,,,,Dtnb,Mgst3
,,,,,,,,,,,,Kctd12,Ly6d
,,,,,,,,,,,,Otos,Igsf8
,,,,,,,,,,,,Rgs21,Mansc1
,,,,,,,,,,,,Ethe1,Gm2a
,,,,,,,,,,,,Itgb7,Limd2
,,,,,,,,,,,,4833423E24Rik,Ptpn18
,,,,,,,,,,,,Coprs,Gcnt1
,,,,,,,,,,,,Gnat3,Cst3
,,,,,,,,,,,,Mif,Gm4952
,,,,,,,,,,,,Uqcr10,Selm
,,,,,,,,,,,,Atp2a3,Tspan8
,,,,,,,,,,,,Pde2a,Ptgs1
,,,,,,,,,,,,Gm13715,Sox9
,,,,,,,,,,,,Gm16081,Nkd1
,,,,,,,,,,,,Tspan6,Man1a
,,,,,,,,,,,,Abhd2,Il13ra1
,,,,,,,,,,,,Pgm2l1,Skap2
,,,,,,,,,,,,2210011C24Rik,Cldn7
,,,,,,,,,,,,Tmem50b,Vav1
,,,,,,,,,,,,Sucnr1,Chn2
,,,,,,,,,,,,Myeov2,Borcs5
,,,,,,,,,,,,Foxe1,Dpy30
,,,,,,,,,,,,Ndufv3,Lsr
,,,,,,,,,,,,Lgals9,Col9a3
,,,,,,,,,,,,Oxr1,Rgs13
,,,,,,,,,,,,Scand1,Ackr4
,,,,,,,,,,,,Zfp428,Apobec3
,,,,,,,,,,,,Gamt,Bpgm
,,,,,,,,,,,,Ahnak2,Etv1
,,,,,,,,,,,,Slitrk6,Mpzl1
,,,,,,,,,,,,1810046K07Rik,Spib
,,,,,,,,,,,,Ero1lb,Scp2
,,,,,,,,,,,,Cap1,Spint2
,,,,,,,,,,,,Plcb2,Txndc16
,,,,,,,,,,,,Slc2a1,Bub3
,,,,,,,,,,,,Ngb,Itpr2
,,,,,,,,,,,,Card19,Ildr1
,,,,,,,,,,,,Hap1,Rac2
,,,,,,,,,,,,Cox7c,Ybx1
,,,,,,,,,,,,Plac8,H2-D1
,,,,,,,,,,,,Uqcr11,Jakmip2
,,,,,,,,,,,,Ndufs7,Litaf
,,,,,,,,,,,,Fnbp1l,Adgrg2
,,,,,,,,,,,,Lcp1,Cyp51
,,,,,,,,,,,,Cox6a1,Grn
,,,,,,,,,,,,Dctn3,Arpc5
,,,,,,,,,,,,Itpr3,Tmed10
,,,,,,,,,,,,Mrpl57,Il17rb
,,,,,,,,,,,,Cox8a,Bmx
,,,,,,,,,,,,Hist1h2bc,Cited4
,,,,,,,,,,,,Uqcrq,Fdft1
,,,,,,,,,,,,Ndufc1,Ngfrap1
,,,,,,,,,,,,Gpx3,Myo1b
,,,,,,,,,,,,Ehf,Strip2
,,,,,,,,,,,,Tmem54,Fam101a
,,,,,,,,,,,,Uqcc2,Fyb
,,,,,,,,,,,,Htatip2,Lmo2
,,,,,,,,,,,,Lrmp,Cnn3
,,,,,,,,,,,,Coq2,Sulf1
,,,,,,,,,,,,St6gal2,Sms
,,,,,,,,,,,,Rogdi,Ccdc28b
,,,,,,,,,,,,Cited2,St6galnac2
,,,,,,,,,,,,Mrps21,Marcksl1
,,,,,,,,,,,,Anxa4,0610040J01Rik
,,,,,,,,,,,,2610016A17Rik,Psmd4
,,,,,,,,,,,,Dap,Entpd3
,,,,,,,,,,,,Tmem245,Msmo1
,,,,,,,,,,,,Matk,Kalrn
,,,,,,,,,,,,Rbm38,Gpc6
,,,,,,,,,,,,Prss53,Cpvl
,,,,,,,,,,,,P3h3,Zmiz1
,,,,,,,,,,,,Atp5k,Gpr137b-ps
,,,,,,,,,,,,Ndufs5,Os9
,,,,,,,,,,,,Cox5b,Crot
,,,,,,,,,,,,Cdc25b,Pik3r1
,,,,,,,,,,,,Cdh13,Fam98c
,,,,,,,,,,,,Lyrm9,Adgrg6
,,,,,,,,,,,,Cox17,Gpcpd1
,,,,,,,,,,,,Zfhx2,Cyp7b1
,,,,,,,,,,,,Mthfd2l,Ptpn6
,,,,,,,,,,,,Ndufa10,Gfi1b
,,,,,,,,,,,,Fam49a,Gpr137b
,,,,,,,,,,,,Usf2,Ppt1
,,,,,,,,,,,,Kcnq3,Ncstn
,,,,,,,,,,,,Timm13,Tapbp
,,,,,,,,,,,,Clmn,Pla2g16
,,,,,,,,,,,,Ndufb8,G6pc3
,,,,,,,,,,,,2010107E04Rik,Cmtm7
,,,,,,,,,,,,Ndufb2,Fdps
,,,,,,,,,,,,Espn,Rgs2
,,,,,,,,,,,,Mrpl30,BC016579
,,,,,,,,,,,,Tpi1,Stk38l
,,,,,,,,,,,,Rnasel,Hmx2
,,,,,,,,,,,,Bloc1s2,Pdcd6
,,,,,,,,,,,,Rab11fip4,Zbp1
,,,,,,,,,,,,Cox6b1,Pfn1
,,,,,,,,,,,,Ndufb9,Cdkn1b
,,,,,,,,,,,,Degs2,Slc25a20
,,,,,,,,,,,,Msi2,Cpq
,,,,,,,,,,,,Cox7a2,Vdac2
,,,,,,,,,,,,Mctp1,Lrpap1
,,,,,,,,,,,,Smdt1,Epcam
,,,,,,,,,,,,Crip1,1700025G04Rik
,,,,,,,,,,,,mt-Co1,Pgap2
,,,,,,,,,,,,Glyr1,Armcx3
,,,,,,,,,,,,Nop10,Sdc4
,,,,,,,,,,,,Psmg4,Rhog
,,,,,,,,,,,,Frmd4a,Inpp5d
,,,,,,,,,,,,Camk2d,Psmb10
,,,,,,,,,,,,Ndufb7,Scarf2
,,,,,,,,,,,,Pip5k1b,Kirrel3
,,,,,,,,,,,,Atp5j2,Pld3
,,,,,,,,,,,,Lamtor4,Ncoa7
,,,,,,,,,,,,Rpp21,Smoc1
,,,,,,,,,,,,Pitpnc1,Mdh1
,,,,,,,,,,,,Srpk2,Egln2
,,,,,,,,,,,,L1cam,Vsig2
,,,,,,,,,,,,Fam171a1,Hivep3
,,,,,,,,,,,,Ndufa6,Sdf4
,,,,,,,,,,,,Pnpla3,Echdc3
,,,,,,,,,,,,Il25,Copz1
,,,,,,,,,,,,Ly6g6d,Sct
,,,,,,,,,,,,Tmed9,Psmb8
,,,,,,,,,,,,Atp5d,Eef1d
,,,,,,,,,,,,0610012G03Rik,Sema4b
,,,,,,,,,,,,Shroom3,Samd14
,,,,,,,,,,,,Lage3,Lipg
,,,,,,,,,,,,Ttc25,Slco4a1
,,,,,,,,,,,,Cflar,Gnb2
,,,,,,,,,,,,Srpx2,Hpgds
,,,,,,,,,,,,Rps27l,Ppib
,,,,,,,,,,,,Pik3r5,Eef2
,,,,,,,,,,,,Cox6c,Dnttip1
,,,,,,,,,,,,Cracr2b,Pde4d
,,,,,,,,,,,,Nfe2l1,Ssu72
,,,,,,,,,,,,Pnkd,Arap2
,,,,,,,,,,,,Ddit4l,Cfp
,,,,,,,,,,,,Ubn1,Il18bp
,,,,,,,,,,,,Helz,Lgr5
,,,,,,,,,,,,Ccl17,Snx10
,,,,,,,,,,,,Ndufa13,Trappc2
,,,,,,,,,,,,2310001H17Rik,Efhd2
,,,,,,,,,,,,Uqcrh,Gm43949
,,,,,,,,,,,,Mrpl54,Prok2
,,,,,,,,,,,,Ptms,Tmem45b
,,,,,,,,,,,,Dab1,Ufm1
,,,,,,,,,,,,Stk38,Ogfr
,,,,,,,,,,,,Atp5o,Nxpe2
,,,,,,,,,,,,Kdm4a,Rap2a
,,,,,,,,,,,,Lamtor2,Igfbpl1
,,,,,,,,,,,,Usmg5,Mllt3
,,,,,,,,,,,,Snapc5,Ttll11
,,,,,,,,,,,,Ost4,Sdha
,,,,,,,,,,,,Pcdh20,Prcp
,,,,,,,,,,,,Hist1h1c,
,,,,,,,,,,,,Ndufs6,
,,,,,,,,,,,,Higd2a,
,,,,,,,,,,,,Myl12b,
,,,,,,,,,,,,Adgrb2,
,,,,,,,,,,,,Stra13,
,,,,,,,,,,,,Reep5,
,,,,,,,,,,,,Sptbn2,
,,,,,,,,,,,,Ppp1r11,
,,,,,,,,,,,,Dmxl2,
,,,,,,,,,,,,Tnfaip8,
,,,,,,,,,,,,Ndufa7,
,,,,,,,,,,,,H1f0,
,,,,,,,,,,,,Mrpl20,
,,,,,,,,,,,,Pou2f3,
,,,,,,,,,,,,Sort1,
,,,,,,,,,,,,Fras1,
,,,,,,,,,,,,Pygl,
,,,,,,,,,,,,Aldh2,
,,,,,,,,,,,,Btbd11,
,,,,,,,,,,,,Ociad2,
,,,,,,,,,,,,Ltc4s,
,,,,,,,,,,,,Rad23b,
,,,,,,,,,,,,Nrxn3,
,,,,,,,,,,,,Lipc,
,,,,,,,,,,,,Ctnnbip1,
,,,,,,,,,,,,Stox2,
,,,,,,,,,,,,March2,
,,,,,,,,,,,,Kcnh7,
,,,,,,,,,,,,Cadps2,
,,,,,,,,,,,,Mlf2,
,,,,,,,,,,,,Cebpzos,
,,,,,,,,,,,,Dnajc19,
,,,,,,,,,,,,Atp5l,
,,,,,,,,,,,,Hepacam2,
,,,,,,,,,,,,2410015M20Rik,
,,,,,,,,,,,,Vamp8,
,,,,,,,,,,,,Gm12446,
,,,,,,,,,,,,Rnf141,
,,,,,,,,,,,,Chchd1,
,,,,,,,,,,,,Anapc13,
,,,,,,,,,,,,Smarca2,
,,,,,,,,,,,,Atp5g2,
