club_cell,ciliated_cell,basal_cell,goblet_cell,mucous_cell,serous_cell,ionocyte,neuroendocrine_cell,tuft_cell,AT1,AT2,primed_AT2,cycling_AT2,UP_in_DATPs,Tuft_montoro_long,Tuft_montoro_short,DATP_short,DATP_long,our_DATP_sig
CYP2F2,FOXJ1,KRT5,MUC5B,MUC5B,NECTIN4,CFTR,CALCA,DCLK1,AGER,SFTPB,STFPC,STFPC,CLDN4,HTR3C,TRPM5,CLDN4,CLDN5,FTL
SCGB3A2,TUBB1,KRT14,MUC5AC,,LPO,FOXI1,CHGA,ASCL2,PDPN,SFTPC,SFTPA1,SFTPA1,KRT8 ,GNG13,GNG13,KRT8,KRT9,KRT8
CCKAR,TP73,TP63,SPDEF,,LTF,ASCL3,ASCL1,,CLIC5,SFTPD,SOAT1,SOAT1,NDRG1,CPB1,RGS13,CDKN1A,CDKN1A,ACTB
,CCDC78,DAPL1,,,,,,,,MUC1,LPCAT1,LPCAT1,SPRR1A,TRPM5,AVIL,,NDRG1,S100A6
,,,,,,,,,,ETV5,CXCL17 ,CXCL17 ,AW112010,SH2D6,HEPACAM2,,SPRR1A,B2M
,,,,,,,,,,,PTGES,PTGES,HIF1A,RGS13,,,TNIP3,TMSB4X
,,,,,,,,,,,GLRX,GLRX,TRP53,BMX,,,,CDKN1A
,,,,,,,,,,,,CDK1,CDKN1A,SUCNR1,,,,CLDN4
,,,,,,,,,,,,MKI67,,C11orf53,,,,HLA-B
,,,,,,,,,,,,CENPA,,FAM150A,,,,HLA-A
,,,,,,,,,,,,,,HEPACAM2,,,,RPL36
,,,,,,,,,,,,,,PLCG2,,,,ACTG1
,,,,,,,,,,,,,,HCK,,,,RPL7A
,,,,,,,,,,,,,,AK4,,,,RPS19
,,,,,,,,,,,,,,AVIL,,,,RPL8
,,,,,,,,,,,,,,LRMP,,,,EEF1A1
,,,,,,,,,,,,,,HOTAIRM1,,,,SFN
,,,,,,,,,,,,,,SOX9,,,,RPL41
,,,,,,,,,,,,,,PBXIP1,,,,RPLP1
,,,,,,,,,,,,,,FXYD6,,,,RPL13A
,,,,,,,,,,,,,,AZGP1,,,,RPS28
,,,,,,,,,,,,,,ENC1,,,,RPL13
,,,,,,,,,,,,,,CCDC109B,,,,RPS27A
,,,,,,,,,,,,,,FURIN,,,,RPL37A
,,,,,,,,,,,,,,CRYM,,,,RPS2
,,,,,,,,,,,,,,C15orf48,,,,RPL28
,,,,,,,,,,,,,,BIK,,,,RPLP0
,,,,,,,,,,,,,,PTPN18,,,,RPL3
,,,,,,,,,,,,,,RASSF6,,,,PTMA
,,,,,,,,,,,,,,KLF4,,,,RPL10
,,,,,,,,,,,,,,MARCKSL1,,,,EEF2
,,,,,,,,,,,,,,ANXA4,,,,HSP90AB1
,,,,,,,,,,,,,,AIG1,,,,MYL6
,,,,,,,,,,,,,,ASCL2,,,,CD63
,,,,,,,,,,,,,,GLRX,,,,TMBIM6
,,,,,,,,,,,,,,C1orf122,,,,CCND1
,,,,,,,,,,,,,,PHF20L1,,,,RPL21
,,,,,,,,,,,,,,U47924.27,,,,KRT18
,,,,,,,,,,,,,,TPD52L1,,,,P4HB
,,,,,,,,,,,,,,TRAK1,,,,RPS3
,,,,,,,,,,,,,,TPM1,,,,JUND
,,,,,,,,,,,,,,PTP4A2,,,,CEACAM6
,,,,,,,,,,,,,,VAMP2,,,,HSP90AA1
,,,,,,,,,,,,,,FAM3B,,,,TPT1
,,,,,,,,,,,,,,SOX4,,,,KRT19
,,,,,,,,,,,,,,RP11-532F12.5,,,,CD151
,,,,,,,,,,,,,,TFF3,,,,H3F3B
,,,,,,,,,,,,,,SMIM22,,,,SOX4
,,,,,,,,,,,,,,SELM,,,,KRT7
,,,,,,,,,,,,,,REEP5,,,,SDC1
,,,,,,,,,,,,,,SDHC,,,,NORAD
,,,,,,,,,,,,,,COX17,,,,CANX
,,,,,,,,,,,,,,CYCS,,,,FLNA
,,,,,,,,,,,,,,ANXA1,,,,PKM
,,,,,,,,,,,,,,KRT8,,,,RPS24
,,,,,,,,,,,,,,TMED10,,,,MT-ND4
,,,,,,,,,,,,,,KRT18,,,,ZFP36L1
