club_cell,ciliated_cell,basal_cell,goblet_cell,mucous_cell,serous_cell,ionocyte,neuroendocrine_cell,AT1,AT2,Tuft_montoro_long
CYP2F2,FOXJ1,KRT5,MUC5B,MUC5B,NECTIN4,CFTR,CALCA,AGER,SFTPB,HTR3C
SCGB3A2,TUBB1,KRT14,MUC5AC,,LPO,FOXI1,CHGA,PDPN,SFTPC,GNG13
CCKAR,TP73,TP63,SPDEF,,LTF,ASCL3,ASCL1,CLIC5,SFTPD,CPB1
,CCDC78,DAPL1,,,,,,,MUC1,TRPM5
,,,,,,,,,ETV5,SH2D6
,,,,,,,,,,RGS13
,,,,,,,,,,BMX
,,,,,,,,,,SUCNR1
,,,,,,,,,,C11orf53
,,,,,,,,,,FAM150A
,,,,,,,,,,HEPACAM2
,,,,,,,,,,PLCG2
,,,,,,,,,,HCK
,,,,,,,,,,AK4
,,,,,,,,,,AVIL
,,,,,,,,,,LRMP
,,,,,,,,,,HOTAIRM1
,,,,,,,,,,SOX9
,,,,,,,,,,PBXIP1
,,,,,,,,,,FXYD6
,,,,,,,,,,AZGP1
,,,,,,,,,,ENC1
,,,,,,,,,,CCDC109B
,,,,,,,,,,FURIN
,,,,,,,,,,CRYM
,,,,,,,,,,C15orf48
,,,,,,,,,,BIK
,,,,,,,,,,PTPN18
,,,,,,,,,,RASSF6
,,,,,,,,,,KLF4
,,,,,,,,,,MARCKSL1
,,,,,,,,,,ANXA4
,,,,,,,,,,AIG1
,,,,,,,,,,ASCL2
,,,,,,,,,,GLRX
,,,,,,,,,,C1orf122
,,,,,,,,,,PHF20L1
,,,,,,,,,,U47924.27
,,,,,,,,,,TPD52L1
,,,,,,,,,,TRAK1
,,,,,,,,,,TPM1
,,,,,,,,,,PTP4A2
,,,,,,,,,,VAMP2
,,,,,,,,,,FAM3B
,,,,,,,,,,SOX4
,,,,,,,,,,RP11-532F12.5
,,,,,,,,,,TFF3
,,,,,,,,,,SMIM22
,,,,,,,,,,SELM
,,,,,,,,,,REEP5
,,,,,,,,,,SDHC
,,,,,,,,,,COX17
,,,,,,,,,,CYCS
,,,,,,,,,,ANXA1
,,,,,,,,,,KRT8
,,,,,,,,,,TMED10
,,,,,,,,,,KRT18
,,,,,,,,,,PSAP
,,,,,,,,,,CALM2
,,,,,,,,,,PPDPF
,,,,,,,,,,CYB5A
,,,,,,,,,,YBX1
,,,,,,,,,,ATP5I
,,,,,,,,,,COX8A
,,,,,,,,,,UQCR10
,,,,,,,,,,NDUFA1
,,,,,,,,,,COX6A1
,,,,,,,,,,COX7A2
,,,,,,,,,,HLA-C
,,,,,,,,,,COX6C
,,,,,,,,,,TMA7
,,,,,,,,,,EIF1
,,,,,,,,,,ATP5L
,,,,,,,,,,H3F3A
