c1_resi,c2_resi_proliferation,c3_BM_proteasome,c4_BM_inflammaroty_signaling,c5_BM_growth,alveolar_mac_DEG
CHIA,STMN1,PRDX6,CSF3R,S100A6,FABP4
TXNIP,MKI67,GBP2,GBP2,CTSS,APOC1
SPATA6,CENPF,LRRTM3,GADD45A,TXNIP,C1QB
TCF7L2,NUCKS1,ARID5B,S100A8,AHNAK,MARCO
CAMK1D,KIF11,MS4A6A,ARID5B,LSP1,C1QA
MRC1,CDK1,MS4A6E,SRGN,ACER3,MCEMP1
LSP1,RRM1,C15orf48,IGSF6,VIM,C1QC
APLP2,CEP55,ACOD1,IRAK3,CRIP1,ALDH2
CLEC7A,NUSAP1,COG7,HCAR2,ADIPOR2,FABP5
ADIPOR2,TUBA1B,PID1,HCAR3,CLEC7A,LGALS3
RNASE3,PRC1,NOS2,ACOD1,FNDC3A,FBP1
RNASE2,PCLAF,HP,CLEC4E,DENND4A,VSIG4
PALB2,NUP50,HPR,IL1RN,XYLT1,FN1
HSP90B1,UBE2C,FYB1,CCRL2,MYO5A,ACP5
CD9,RRM2,CD14,SLFN12,EPS8,FTL
PLET1,BIRC5,FAM126B,SLFN12L,CD9,GRN
VRTN,TOP2A,CCL5,CCL4,RUNX1,SERPING1
CDK8,SPC25,FMNL2,CCL4L2,ITGA4,CTSD
KPNA1,CENPE,HLA-DQB1,IL36G,APOE,GCHFR
CMSS1,KIF15,HLA-DQB2,IL1R2,FN1,MSR1
IL31RA,CCNA2,SASH1,BASP1,ALCAM,CD68
PPARG,HMGB2,AIF1,RNF213,CCL15-CCL14,OLR1
KCNIP4,MCM3,F13A1,IL1B,CCL15,S100A11
CA4,TUBB,LCN2,SLFN5,CCL23,LGALS3BP
SEMA3C,RBBP7,ARG1,FYB1,LHFPL2,MGST3
ATP6V0D2,SMC2,PLA2G7,FMNL2,FMNL2,ANXA2
LPL,,AOAH,CCL18,CD93,CYP27A1
,,,CCL3,CD14,TREM1
,,,CCL3L1,SH3BGRL,LPL
,,,CCL3L3,TRPS1,CSTB
,,,CD274,ATP6V0D2,MRC1
,,,IRGM,,TSPO
,,,AOAH,,GPNMB
,,,LCN2,,PHLDA3
,,,,,PCOLCE2
,,,,,GPD1
,,,,,ANXA5
,,,,,SERPINA1
,,,,,APOE
,,,,,RETN
,,,,,CES1
,,,,,DEFB1
,,,,,PPARG
,,,,,LOC101929371
,,,,,INHBA
,,,,,S100A13
,,,,,GLDN
,,,,,SCD
,,,,,IFI6
,,,,,GLIPR2
,,,,,PDLIM1
,,,,,BHLHE41
,,,,,GSTO1
,,,,,SNX10
,,,,,FAM89A
,,,,,NUPR1
,,,,,IFI30
,,,,,MME
,,,,,PPIC
,,,,,MS4A4A
,,,,,ABCG1
,,,,,CRIP1
,,,,,ARRDC4
,,,,,VMO1
,,,,,CTSL
,,,,,PNPLA6
,,,,,CTSC
,,,,,HSPB1
,,,,,HP
,,,,,CD81
,,,,,DAB2
,,,,,MYL6
,,,,,RMDN3
,,,,,SLCO2B1
,,,,,HNMT
,,,,,MS4A4A
,,,,,TXN
,,,,,OASL
,,,,,RGCC
,,,,,CXCL3
,,,,,TREM2
,,,,,AQP3
,,,,,CD163
,,,,,RBP4
,,,,,PELATON
,,,,,FHL1
,,,,,S100A10
,,,,,SLC11A1
,,,,,TIMP2
,,,,,RAB13
,,,,,SVIL
,,,,,ITGB8
,,,,,PLBD1
,,,,,FTH1
,,,,,LTA4H
,,,,,ALDH1A1
,,,,,VAT1
,,,,,PTMS
,,,,,MMP19
,,,,,LOC731424
,,,,,CORO1C
,,,,,COMT
,,,,,CXCL16
,,,,,CTSZ
,,,,,NCEH1
,,,,,ADAMTSL4
,,,,,LRP1
,,,,,SGMS2
,,,,,11-Sep
,,,,,CLDN7
,,,,,TGM2
,,,,,NOP10
,,,,,FCGR1A
,,,,,CCL18
,,,,,FCGRT
,,,,,ALOX5AP
,,,,,CYB5A
,,,,,C5AR1
,,,,,ENPP4
,,,,,SCCPDH
,,,,,APIP
,,,,,GPCPD1
,,,,,AGRP
,,,,,LY6E
,,,,,NCF2
,,,,,PTPMT1
,,,,,SLC31A1
,,,,,LAMP2
,,,,,GAA
,,,,,PRDX1
,,,,,ACTN1
,,,,,CSTA
,,,,,QSOX1
,,,,,SIRPA
,,,,,MGST1
,,,,,CYBB
,,,,,CREG1
,,,,,S100A6
,,,,,AMIGO2
,,,,,TUBB6
,,,,,SPI1
,,,,,CD9
,,,,,CTSB
,,,,,OSCAR
,,,,,GLRX
,,,,,SORT1
,,,,,CAPG
,,,,,SLC31A2
,,,,,HLA-DRB1
,,,,,ACVRL1
,,,,,TFRC
,,,,,TUBA1C
,,,,,PILRA
,,,,,HLA-DRA
,,,,,PLA2G16
,,,,,ALOX5
,,,,,AKR1C3
,,,,,MACC1
,,,,,SLC7A7
,,,,,PLXDC2
,,,,,CLIC4
,,,,,RND3
,,,,,SMCO4
,,,,,CD151
,,,,,LYZ
,,,,,AXL
,,,,,BRI3
,,,,,ACO1
,,,,,TCF7L2
,,,,,HCK
,,,,,PDXK
,,,,,RAB31
,,,,,ATP1B1
,,,,,COPRS
,,,,,PGD
,,,,,SLC15A3
,,,,,STXBP2
,,,,,CFD
,,,,,CPE
,,,,,GRINA
,,,,,FPR1
,,,,,TNNI2
,,,,,FUOM
,,,,,PECAM1
,,,,,DUSP23
,,,,,TRPV2
,,,,,CXCL5
,,,,,HEXB
,,,,,UBASH3B
,,,,,STAC
,,,,,KCNA3
,,,,,DNASE2
,,,,,MT1L
,,,,,MCOLN1
,,,,,FCGR3A
,,,,,FCER1G
,,,,,FPR2
,,,,,GGA2
,,,,,HLA-DRB5
,,,,,CNIH4
,,,,,RAC1
,,,,,MPHOSPH6
,,,,,ARHGAP18
,,,,,LRPAP1
,,,,,FCGR2A
,,,,,TMEM53
,,,,,UBE2E2
,,,,,AGPAT2
,,,,,IFIT3
,,,,,TUBA1B
,,,,,CISD3
,,,,,MLPH
,,,,,TCEAL4
,,,,,CD58
,,,,,TFPT
,,,,,ANPEP
,,,,,MNDA
,,,,,LGALS9
,,,,,HLA-DMB
,,,,,SPATS2L
,,,,,POR
,,,,,DPYSL2
,,,,,GPX4
,,,,,SMIM30
,,,,,GM2A
,,,,,COLGALT1
,,,,,GSN
,,,,,ZBTB8OS
,,,,,LY86
,,,,,TMSB4X
,,,,,SLC27A3
,,,,,TYROBP
,,,,,ATP6V1B2
,,,,,CCL23
,,,,,IGSF6
,,,,,STX12
,,,,,TGFBI
,,,,,PLSCR1
,,,,,LAIR1
,,,,,ENG
,,,,,PDLIM7
,,,,,TSPAN3
,,,,,CCRL2
,,,,,RHOB
,,,,,BLVRA
,,,,,TMED5
,,,,,SQOR
,,,,,SLC43A2
,,,,,SDC4
,,,,,ABHD5
,,,,,DLD
,,,,,HCFC1R1
,,,,,HLA-DQA1
,,,,,ATP6V1F
,,,,,GNS
,,,,,ZDHHC3
,,,,,COA6
